Title,Price,Address,Posting Date,Bedrooms,Bathrooms,Building Type,Description,Visit Counter,User Info,url,Utilities Included,Wi-Fi and More
"Treatment Room for Rent at Sol Medical Spa. Forest Hill, Toronto",,"Toronto, ON M5N 1E3","March 10, 2024 7:05 PM",,,,"Access to a waiting room, Laundry, bathrooms , great room for a start up. The price is $1200 to $1500 depending on the size you would like",728 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/treatment-room-for-rent-at-sol-medical-spa-forest-hill-toronto/1677000200,,
Forest Hill Residences - 3 Bedroom Apartment for Rent,"$4,500Some Utilities Included","780 Eglinton Avenue West, Toronto, ON, M5N 1E9","March 8, 2024 5:49 AM",3,1,Apartment,"Newly renovated 3-bedroom unit with terrace. Fully equiped with in-suite laundry and upgraded appliances, inlcuding dishwasher! Available to view now!",,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/forest-hill-residences-3-bedroom-apartment-for-rent/1664489756,"Hydro, Heat, Water",Not Included
100 Tyndall Ave - 100 Tyndall Ave Apartment for Rent,"$2,309No Utilities Included","100 Tyndall Ave, Toronto, ON, M6K 2E2","March 5, 2024 3:21 PM",1,1,Apartment,"The apartments at 100 Tyndall Avenue put you at an unbeatable Toronto location,situated just west of Liberty Village.Choose from renovated bachelor, 1 and 2 bedroom apartments, each featuringstainless steel appliances, quartz countertops, custom cabinetry, large living areas,and private balconies with exceptional views. Residents, who require parking, alsoenjoy an assigned underground parking spot, on-site laundry facilities, andprofessional on-site management from friendly, helpful staff.At 100 Tyndall Avenue you're minutes away from some of Toronto's coolest and mostcoveted spots in Liberty Village. Access the Gardiner Expressway or the CNE in lessthan five minutes, or explore the Greater Toronto Area with transit stops less than fiveminutes away on foot. Despite being close to it all, the apartments at 100 TyndallAvenue are situated on a quiet, tree-lined street, offering peace and quiet away fromthe hustle and bustle of the city.Contact us today to make 100 Tyndall Avenue your next Toronto rental home. Located in the center of hip and happening Parkdale, near Liberty Village, your new neighbourhood is packed with excellent shops, bars, boutiques, and trendy restaurants. Our property is located just a short walk from the vibrant communities of King Street West and Queen Street West.The Queen 501 streetcar runs 24 hours a day. Commuting from 100 Tyndall Avenue is easy as we are located just minutes from the Gardiner Expressway and only a 10-minute streetcar ride to the center of downtownBuilding OverivewThe apartments at 100 Tyndall Avenue put you at an unbeatable Toronto location,situated just west of Liberty Village.Choose from renovated bachelor, 1 and 2 bedroom apartments, each featuringstainless steel appliances, quartz countertops, custom cabinetry, large living areas,and private balconies with exceptional views. Residents, who require parking, alsoenjoy an assigned underground parking spot, on-site laundry facilities, andprofessional on-site management from friendly, helpful staff.At 100 Tyndall Avenue you're minutes away from some of Toronto's coolest and mostcoveted spots in Liberty Village. Access the Gardiner Expressway or the CNE in lessthan five minutes, or explore the Greater Toronto Area with transit stops less than fiveminutes away on foot. Despite being close to it all, the apartments at 100 TyndallAvenue are situated on a quiet, tree-lined street, offering peace and quiet away fromthe hustle and bustle of the city.Contact us today to make 100 Tyndall Avenue your next Toronto rental home.",,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/100-tyndall-ave-100-tyndall-ave-apartment-for-rent/1682460535,,Not Included
"Furnished, Ground Floor Room for male starting April 1st",,"Alexis Blvd, North York, ON M3H","March 10, 2024 6:21 PM",,,,"Private, clean, quiet, fully furnished room on main floor of house near Bathurst and Sheppard available April 1st.
Room includes lock with key, bed, nightstand, table, chair, closet with hangers, dresser, mirror, garbage bin and window with blinds.
Shared bathroom in the hall with one other person (male).
Private refrigerator in kitchen shared with 3 others. Includes stove, microwave, toaster, kettle, sink, cabinets.
Utilities and high-speed internet included.
Washer and dryer (coin-operated) available in basement.
1 minute walk to bus station and 5/10-minute bus ride to either Sheppard or Sheppard West subway station.
Nearby walking distance: Metro supermarket, Shoppers Drug Mart, Canada Post, Dollar Store, TD, Scotiabank, BMO, Royal Bank, Tim Hortons, Starbucks, Subway sandwiches, Pizza Pizza, Dominos, Dairy Queen, Wakame Sushi, Popeyes chicken, Bagel Plus, Healthy Planet, Rogers Store, Freedom Mobile, Yoga, Laundromat, Haircut, Dentist, Convenience store, Walk-in clinic.
For 1 person only.
Working or student preferred.
Male preferred.
No smoking or pets.
No parking available.",,KKijiji User,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/furnished-ground-floor-room-for-male-starting-april-1st/1687833051,,
1 room available in a 2 Bed 1 Bath Condo,,"561 Sherbourne St, Toronto, ON M4X 0A1","March 10, 2024 6:20 PM",,,,"1 Room available to rent in a 2-bedroom 1-bathroom condo with a fully equipped kitchen and in suite washer and dryer. Looking for 1 person only, to rent this room for min 1 year.
DETAILS:
Location : 561 Sherbourne St.
Rent : $1400 per month + Utilities (hydro and internet)
Availability from: 1st April 2024
Documents required : Proof of income, Valid ID, 1 reference
You will be sharing the 2 bedroom condo with me. I occupy the other room. I am a Software developer from Maharashtra, India and I have a hybrid work schedule.
The condo is equipped with high speed wifi (1.5 Gbps) and an in suite washer and dryer, and there's an underground parking that can be obtained with extra charges. It is managed by Target Parking.
It is in an incredibly convenient and accessible location with an amazing view. The condominium building is new, built in 2019 and has great amenities such as a gym, games room, movie theatre, outdoor grill station, a party hall and 24-hour security. FreshCo, Tim Hortons and more such stores are located on the ground floor of the building. Public transport is also very accessible from here with a bus stop right in front of the building and TTC subway station is 5 min walk.
The private bedroom is spacious, has a big window with a great view, a closet and the bathroom attached to it (bathroom has two separate entrances). The room is UNFURNISHED. The common areas and the kitchen are well furnished, and the view from the balcony is one to die for(I'm attaching some pictures I took, and you can also see the CN tower from here), and the balcony is great for two people to enjoy your morning or evening coffee.
If interested, please introduce yourself and message me for more details.",26 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/1-room-available-in-a-2-bed-1-bath-condo/1687832961,,
Short term rental,,"8 Hillsdale Ave E, Toronto, M4S 1T5","March 10, 2024 6:19 PM",,,,"Cozy studio in a modern condo for a couple or single. Sofa bed, all kitchen stuff, internet and everything you need for a short term rental from one month. Price for a month $2800, 3 months 2400 per month. Internet and utilities included. Steps to subway station and bus stops. No parking available.",11 visits,KKijiji User,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/short-term-rental/1687832833,,
Looking for a responsible roommate,,"Warden Ave., Scarborough, ON, M1M2E8","March 10, 2024 6:18 PM",,,,"I'm looking for someone responsible, who works and is dignified to split rent with in a beautiful condo. Looking for something between $2,000 and 2,500, for a condo two bedroom or simply rent out a house. I'm Presently living alone and don't want to pay for the small high priced basement apartment accommodations that are available. I might as well look for something big and split it with someone compatible with my situation. Give me a contact if you're interested.
(647) 576-3563 Edward
416 450 3549",7 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/looking-for-a-responsible-roommate/1687832758,,
COMMERCIAL OFFICE SPACE FOR RENT,,"Woodbridge, ON L4H 3G1","March 10, 2024 6:18 PM",,,,"COMMERCIAL OFFICE SPACE FOR RENT
AVAILABLE APRIL 1 2024
PRICE: $900 + HST
ALL INCLUSIVE + ONE FREE PARKING SPACE
FOR ANY BUSINESS USES
NEWLY RENOVATED BUILDING
PLEASE CONTACT THE LANDLORD AT: 647-283-2532 FOR FURTHER INQUIRIES
1941 Weston Road, Toronto, Ontario",7 visits,KKijiji User,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/commercial-office-space-for-rent/1687832708,,
2 bedroom Basement for Rent in Toronto located at 1 Holland Ave,,"Holland Avenue, East York, ON","March 10, 2024 6:17 PM",,,,"For rent is a legal, clean and move in ready private 2 bedroom basement apartment for rent.",27 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/2-bedroom-basement-for-rent-in-toronto-located-at-1-holland-ave/1687832655,,
Basement room well furnished,,"67 Godstone Rd, North York, ON M2J 3C8","March 10, 2024 6:15 PM",,,,"Don mills and sheppard, steps away from supermarket, Fairview mall, bus stop and TTC station. All utilities included, water, hydro, heat and AC and high speed internet. Well furnished.
Month to month, start move in now or anytime
Text or call for showing 647-995-5555",10 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/basement-room-well-furnished/1687832479,,
Furnished Room for Rent Danforth,,"2934 Danforth Ave, Toronto, ON M4C 1M5","March 10, 2024 6:15 PM",,,,"No Texts! Calls only 416 827 83 11! Furnished big room for rent $795 a month at Danforth and near Victoria Park! Close by Shoppers World Danforth! Shared kitchen and washroom. Heat, AC ,hydro , internet included. Bus stop in front.
No Pet , No Smoking
No texts or emails! Calls only!
Call Paul 416 827 83 11",985 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-room-for-rent-danforth/1683292501,,
1 Bedroom basement apartment $900 pm available from 1st April 24,$900All Utilities Included,"Etobicoke, ON M9B 5E5","March 10, 2024 6:15 PM",1,1,Basement,1 Bedroom basement apartment $900 pm available from 1st April 2024,200 visits,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-basement-apartment-900-pm-available-from-1st-april-24/1687559769,"Hydro, Heat, Water",Internet
BACHELOR APARTMENT AVAILABLEIN DOWNTOWN TORONTO LESLIEVILLE AREA,"$1,550All Utilities Included","936 Queen Street East, Toronto, ON","March 10, 2024 6:15 PM",Bachelor/Studio,1,Apartment,"Prime Bachelor Apartment in Leslieville, Downtown Toronto",424 visits,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bachelor-apartment-availablein-downtown-toronto-leslieville-area/1686299532,"Hydro, Heat, Water",Cable / TVInternet
25 Richmond St E - Yonge + Rich Condos Rent - 1 Bed + 2 Bed Unit,,"Richmond St E, Toronto, ON","March 10, 2024 6:14 PM",,,,"Welcome To Yonge + Rich Condos located at 25 Richmond St E in the hear of Downtown Toronto
Live in a Distinct + Elegantly Appointed Private Residences",11 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/25-richmond-st-e-yonge-rich-condos-rent-1-bed-2-bed-unit/1687832337,,
2 bed+den 2 bath Tridel new condo at Bloor  and Islington,"$3,150No Utilities Included","5 Mabelle Avenue, Etobicoke, ON","March 10, 2024 6:14 PM",2 + Den,2,Condo,Tridel 2+Den New Condo at Bloor/ Islington.,5 visits,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bed-den-2-bath-tridel-new-condo-at-bloor-and-islington/1687832295,,Internet
2181 + 2191 Yonge St - The Minto Quantum - 1 Bed + 2 Bed Units,,"Yonge Street, Toronto, ON","March 10, 2024 6:13 PM",,,,Welcome to The Minto Quantum at 2181 + 2191 Yonge Street at Yonge and Eglinton.,4 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/2181-2191-yonge-st-the-minto-quantum-1-bed-2-bed-units/1687832257,,
New Teahouse Condo - 501 Yonge St. Toronto - 1 + 2 Bed for Rent,,"Yonge Street, Toronto, ON","March 10, 2024 6:12 PM",,,,Welcome to the Brand New Beautiful Teahouse located at 501 Yonge St. in the heart of Toronto,7 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/new-teahouse-condo-501-yonge-st-toronto-1-2-bed-for-rent/1687832173,,
Looking for a roommate to rent a spot in our apartment,,"Wilson Avenue, North York, ON","March 10, 2024 6:12 PM",,,,Please read the ad properly before you message Me and my mother in law our looking to rent a spot in the living room in our apartment right now by the end of the week 700 dollars a month first and last then 700 every other month laundry room in the lobby shared bathroom and kitchen parking available extra for parking please message if interested looking for someone who keeps to themselves and doesnt bother anyone and smokes also doesnt mind if its an open concept and its in the living room only cats for pet friendly and it has to be rented out in 2 days or asap,24 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/looking-for-a-roommate-to-rent-a-spot-in-our-apartment/1687832146,,
"Furnished, Ground Floor Room for male starting April 1st",,"Alexis Blvd, North York, ON M3H","March 10, 2024 6:11 PM",,,,"Private, clean, quiet, fully furnished room on main floor of house near Bathurst and Sheppard available April 1st.
Room includes lock with key, bed, nightstand, table, chair, closet with hangers, dresser, mirror, garbage bin and window with blinds.
Shared bathroom in the hall with one other person (male).
Private refrigerator in kitchen shared with 3 others. Includes stove, microwave, toaster, kettle, sink, cabinets.
Utilities and high-speed internet included.
Washer and dryer (coin-operated) available in basement.
1 minute walk to bus station and 5/10-minute bus ride to either Sheppard or Sheppard West subway station.
Nearby walking distance: Metro supermarket, Shoppers Drug Mart, Canada Post, Dollar Store, TD, Scotiabank, BMO, Royal Bank, Tim Hortons, Starbucks, Subway sandwiches, Pizza Pizza, Dominos, Dairy Queen, Wakame Sushi, Popeyes chicken, Bagel Plus, Healthy Planet, Rogers Store, Freedom Mobile, Yoga, Laundromat, Haircut, Dentist, Convenience store, Walk-in clinic.
For 1 person only.
Working or student preferred.
Male preferred.
No smoking or pets.
No parking available.",,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-ground-floor-room-for-male-starting-april-1st/1687832069,,
88 - 100 Harbour St. - Luxury Harbour Plaza - 1 + 2 Bed for Rent,,"Harbour St, Toronto, ON","March 10, 2024 6:11 PM",,,,Welcome to the Stunning & Luxury Harbour Plaza by Menkes- In the heart of Toronto's Waterfront and Financial Core Community.,7 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/88-100-harbour-st-luxury-harbour-plaza-1-2-bed-for-rent/1687832006,,
Private basement room available for rent,,"Scarborough, ON M1K 2W3","March 10, 2024 6:09 PM",,,,Private basement room available for rent. Minutes walk to bus stop. Shared kitchen and washrooms. Utilities included with rent. Laundry and WiFi are free. Female student or female working person preferred.,47 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/private-basement-room-available-for-rent/1687831817,,
COMMERCIAL OFFICE SPACE FOR RENT,,"Woodbridge, ON L4H 3G1","March 10, 2024 6:08 PM",,,,"COMMERCIAL OFFICE SPACE FOR RENT
AVAILABLE MARCH 1 2024
PRICE: $600 + HST
ALL INCLUSIVE + ONE FREE PARKING SPACE
FOR ANY BUSINESS USES
NEWLY RENOVATED BUILDING
PLEASE CONTACT THE LANDLORD AT: 647-283-2532 FOR FURTHER INQUIRIES
1941 Weston Road, Toronto, Ontario",6 visits,KKijiji User,https://www.kijiji.ca/v-commercial-office-space/city-of-toronto/commercial-office-space-for-rent/1687831672,,
1 Bed 1 Bath @ Dufferin & Lawrence,"$2,200No Utilities Included","3091 Dufferin St, Toronto, ON M6A 0C4","March 10, 2024 6:08 PM",1,1,Condo,"Available April 1, 2024. Spacious 1 Bed 1 Bath Unit with a large balcony. Private laundry with 1 underground Parking and 1 Locker.
Access to amenities- Gym, Outdoor Pool, rooftop terrace and BBQ.
Message me if you are interested in viewing this unit.",9 visits,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-1-bath-dufferin-lawrence/1687831611,,Not Included
Private Room For Rent,,"Toronto, ON M4S 1E1","March 10, 2024 6:06 PM",,,,"Deluxe Room Available in Downtown Apartment - Fully Furnished & All-Inclusive! ✨							
							
Availability: 1st April							
							
Location: Balliol Street and Yonge Street							
							
Key Features:							
							
‍Just 5 minutes walking distance to Davisville Station							
Part of a 3-bedroom, 1-bathroom apartment; shared space, not a townhouse or single house							
️ Close to grocery stores, restaurants, and pharmacies							
Smart TV in all rooms							
Unlimited fast Wi-Fi							
Full kitchenware provided							
Bed linens included							
Modern and stylish furniture							
							
Nearest Subway Station: Davisville Subway Station (5 minutes walk)							
							
Pricing:							
							
Deluxe Room: $1380 CAD/4 Weeks							
							
Additional Details:							
														
Strictly no smoking							
Unfortunately, not pet-friendly",16 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/private-room-for-rent/1687831509,,
NEWLY RENOVATED 4B2B SEMI UPPER LEVEL for rent in SCARBOROUGH,"$3,400No Utilities Included","Scarborough, ON M1V 1S2","March 10, 2024 6:06 PM",4,2,House,"Newly renovated 4 BEDROOMS, 2 BATHROOMS on upper level of a semi-detached house for rent in SCARBOROUGH. Close to grocery stores, restaurants, shopping center and all amenities. Separate entrance basement has been rented out.
Available IMMEDIATELY!
- Rent $3400/m, split utilities cost with the basement tenants
- Including 1 parking spot
- Suitable for working professionals or a family
- Long term rentals (at least 1 year lease)",3 visits,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/newly-renovated-4b2b-semi-upper-level-for-rent-in-scarborough/1687831423,,Not Included
Emerald City Condo - Donmills Station - 1 Bed + 2 Bed for Rent,,"Forest Manor Road, North York, ON","March 10, 2024 6:05 PM",,,,"Welcome to the Brand New Condos at The Point At Emerald City Condos located at Donmills and Sheppard!
Steps to fairview mall.",8 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/emerald-city-condo-donmills-station-1-bed-2-bed-for-rent/1687831384,,
Econdos - Yonge + Eglinton Prime Area - 1 Bed + 2 Bed for Rent,,"Eglinton Ave E, Toronto, ON","March 10, 2024 6:04 PM",,,,Welcome to Econdos right at the intersection of Yonge and Eglinton at 8 Eglinton Ave E.,7 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/econdos-yonge-eglinton-prime-area-1-bed-2-bed-for-rent/1687831284,,
Brand new basement room for rent for females at $680,,"Scarborough, ON M1C 4V6","March 10, 2024 6:04 PM",,,,Luxury renovated fully equipped basement private room for rent immediately for females. All utilities included. Room can be shared by 2 individual and rent would be $1200. Rent negotiable.,24 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/brand-new-basement-room-for-rent-for-females-at-680/1687831212,,
BISHA - Private Residences + Boutique Hotel - 1 + 2 Bed for Rent,,"Blue Jays Way, Toronto, ON","March 10, 2024 6:03 PM",,,,"Welcome To The Exciting ""Bisha', Private Residences And Boutique Hotel.",3 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/bisha-private-residences-boutique-hotel-1-2-bed-for-rent/1687831154,,
Basement Furnished Room for Rent - North York,$800No Utilities Included,"92 Apache Trail, Toronto, M2H 2H9","March 10, 2024 6:03 PM",3,1,House,"Fully furnished Single occupancy room available for rent near Seneca College. Victoria Park and Finch Ave intersection.
Table and chair can be provided if required.
TTC bus stop 5mins away and Finch station 15mins away.
TV with cable, high speed internet, utilities included in the rent.
You'll be sharing the house with one girl.
Room available only for Girls.",29 visits,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/basement-furnished-room-for-rent-north-york/1687831102,,Not Included
Art Shoppe Condos for Rent Yonge + Eglinton - 1 Bed + 2 Bed Unit,,"Hillsdale Avenue East, North York, ON","March 10, 2024 6:02 PM",,,,Welcome to the fabulous Art Shoppe Condos and Lofts locating at Yonge & Eglinton.,4 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/art-shoppe-condos-for-rent-yonge-eglinton-1-bed-2-bed-unit/1687831053,,
Principal with attached ensuite,,"New Delhi Dr, Markham, ON L3S 0E1","March 10, 2024 6:02 PM",,,,"Principal bedroom with attached ensuite ( Only)
This is a shared 3 bedroom condo. Fully furnished with shared kitchen and living space. Washer & dryer in unit. There is also a balcony overlooking a pond.
Well located in Markham & close to transit.
Will be available for May 1st.
Please note this is for one individual only.
We ask that you are a non smoker. Clean, quiet & respectful. You must be employed &/or a registered student.
Rent of $1285.00 monthly covers your utilities & wifi.
Parking can be rented at an extra cost.",11 visits,KKijiji User,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/principal-with-attached-ensuite/1687831007,,
2221 Yonge Brand New Yonge + Eglinton Condo - 1 Bed + 2 Bed Unit,,"Yonge Street, Toronto, ON","March 10, 2024 6:02 PM",,,,Welcome to 2221 Yonge St right at the intersection of Yonge and Eglinton,4 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/2221-yonge-brand-new-yonge-eglinton-condo-1-bed-2-bed-unit/1687830940,,
1 Bedroom - Apartment for Rent - North York,Please ContactSome Utilities Included,"3000 Dufferin St, North York, ON, M6B 3T6","March 10, 2024 6:01 PM",1,1,Apartment,Parking & Hydro extraUnit Features:,,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-for-rent-north-york/1539126645,"Hydro, Heat, Water",Not Included
575 Bloor St E New Condo - Yonge and Bloor - 1 Bed + 2 Bed Units,,"Bloor St E, Toronto, ON","March 10, 2024 6:01 PM",,,,Welcome to a brand new unit at Via Bloor built By a reputable builder Tridel located at 575 Bloor St E.,2 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/575-bloor-st-e-new-condo-yonge-and-bloor-1-bed-2-bed-units/1687830851,,
Furnished rooms at Downtown Toronto for rent $1400,,"Grace St, Toronto, ON, M6G 3A7","March 10, 2024 6:01 PM",,,,"Your Dream Stay in Downtown Toronto!
✨ Meticulously Clean, Fully Furnished New house near Christie Subway Station
$1,500/month (all-inclusive: utilities & WIFI) | Short-term rental with possible extension
Book a Viewing: https://insrent.checkfront.com/reserve/
Questions? Call/Text/WhatsApp 437-428-1990 for a Fast Response!
✨ Features:
* Meticulously clean, fully furnished bedroom
* Large room with a comfortable Queen size bed
* Shared bathroom and kitchen
* 3Gbps High-speed Fiber WIFI
* All utilities included
* Free onsite laundry and dishwasher available
* Central air conditioning for a cool summer experience
* Bi-Weekly professional cleaning in common areas
Convenient Location:
* Well-connected by public transportation
* Walking distance to all amenities
* Steps away from bus stops, 5 min walk to Christie subway station, which is 5 min subway ride to University of Toronto (st. Geoge station)
️ Vibrant Neighborhood:
* Explore Toronto's culinary scene in Koreatown, the Annex, and Christie Pitts
* A variety of finest bars and restaurants at your doorstep
Terms:
* 1st month and $400 refundable deposit required
* Extensions may be granted on a case-by-case basis
* No pets or smoking allowed
* Single occupancy preferred (additional cost for double occupancy)
* Overnight stays of guests not allowed
Reservation Application:
* Book a Viewing: https://insrent.checkfront.com/reserve/
* Fill out the application form with the requested information
* Use ""Property 55 or 175” as your property preference
* Brief self-introduction, purpose of visit, number of occupants, desired move-in date and duration, rental preferences
⚠️ Background Check:
* Credit score, bank balance, rental reference, eviction history, proof of income/employment may be required
* Priority given to applicants providing the majority of requested information
About Us:
* Choose from our curated selection of 50+ clean, comfortable, and affordable short-term rentals
* Immerse yourself in the essence of Toronto's vibrant neighborhoods
* Follow us on Instagram (@insrent.app) for exclusive updates, insider tips, and charming accommodation glimpses
Your memorable stay in Toronto awaits! Contact us at 437-428-1990 to secure your spot. Let us take care of your accommodation needs while you create unforgettable memories in our wonderful city",29 visits,KKijiji User,https://www.kijiji.ca/v-short-term-rental/city-of-toronto/furnished-rooms-at-downtown-toronto-for-rent-1400/1687830833,,
All-inclusive private furnished room North York April 1st,,"Antibes Dr, Toronto, ON M2R 2Y9","March 10, 2024 6:00 PM",,,,"All-Inclusive room available in a three-level townhome available for single person in North York for April 1st!
Bathurst/Drewry in a quiet neighborhood - well located with TTC stop to Finch Station at doorstep.
Private room to yourself on the main level 9.75 by 7 feet (next to the kitchen so some noise levels, sound insulation installed to reduce noise)
Private access to a balcony
Shared washroom
Washer and dryer
Access to a fully equipped common kitchen, dining, and living area
Available furnished with a single bed and large wardrobe.
No pets and non-smoker.
$1000 all-inclusive (internet, hydro, water, electricity)
First and last, employment/income verification, and reference check to apply",9 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/all-inclusive-private-furnished-room-north-york-april-1st/1687830808,,
Furnished 2-bedroom Basement Apartment -Richmond Hill,"$2,150All Utilities Included","Richmond Hill, ON L4E 3Z1","March 10, 2024 6:00 PM",2,1,Basement,"Looking for a comfortable and well-equipped living space in a prime location? Look no further than this Bright and Spacious Basement Apartment in Oak Ridges, Richmond Hill. This lovely 2-bedroom apartment is located at the intersection of Bathurst and Bloomington, offering easy access to amenities, transportation, parks, schools, and much more.
The apartment features a 1st bedroom with a queen bed, side table, and closet and a 2nd bedroom with a queen bed, side table, wardrobe, writing table, and chair. The living/dining room is furnished with a couch, dining table, and chairs, while the kitchen comes equipped with a refrigerator and stove. The apartment also includes a 3-piece bathroom, shared laundry facility, and separate entrance.
Enjoy fast access to YRT, GO, 404/400, and other major highways.
The monthly rent of $2150 includes all utilities (hydro-electricity, water, gas – heating, air conditioning), high-speed internet Wi-Fi, and 1 parking spot. Smoking and pets are not allowed. The apartment is available from March 15th, 2024, or immediate occupancy.
This apartment is perfect for a young couple, small family, or student.
To schedule a viewing, please call at 647-686-9337.",3 visits,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/furnished-2-bedroom-basement-apartment-richmond-hill/1687830780,"Hydro, Heat, Water",Internet
395 Bloor St E New Condo - Yonge and Bloor - 1 Bed + 2 Bed Units,,"Bloor St E, Toronto, ON","March 10, 2024 6:00 PM",,,,Welcome to The Rosedale on Bloor condos right at the heart of Toronto steps away from Yorkville located at 395 Bloor St E.,2 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/395-bloor-st-e-new-condo-yonge-and-bloor-1-bed-2-bed-units/1687830766,,
Large sunny room in 2 bed/1bath in Junction!,,"Toronto, ON M6P 2E5","March 10, 2024 6:00 PM",,,,Offering: A real gem!! 1 unfurnished bedroom in a 2 bed 1 bath apartment in the junction (steps to Dundas w) - April 15 availability May 1st could work,220 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/large-sunny-room-in-2-bed-1bath-in-junction/1687085405,,
357 King St W New Condo King Street Living - 1 + 2  Bed for Rent,,"King Street West, Toronto, ON","March 10, 2024 5:59 PM",,,,Experience King Street living at its best - A new condo development in the heart of Toronto located at 357 King St W.,7 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/357-king-st-w-new-condo-king-street-living-1-2-bed-for-rent/1687830689,,
Basement Apartment for Rent,"$1,450No Utilities Included","Meadowvale Rd, Toronto, M1C 1S7","March 10, 2024 5:59 PM",1,1,Apartment,"Available in April: Fully furnished 1-bedroom, 1-washroom, 1-kitchen basement apartment in Scarborough, conveniently located near University of Toronto Scarborough, GO train, TTC, Port Union waterfront, and more. Car Parking is not available, this apartment is pet and smoke free. Additional 25% utility bill will be added ontop of rent. Message me if interested!",40 visits,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/basement-apartment-for-rent/1687830647,,Not Included
Yorkville Neighbourhood - 188 Cumberland St - 1 + 2 Bed for Rent,,"Cumberland Street, Toronto, ON","March 10, 2024 5:59 PM",,,,"An Elevated Standard Of Luxury Rises Above All In The Heart Of Toronto's Coveted Yorkville Neighbourhood, At Cumberland St & Avenue Rd. - 188 Cumberland Street.",3 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/yorkville-neighbourhood-188-cumberland-st-1-2-bed-for-rent/1687830627,,
